1,Aairah Salazar,Mona's,9-16-2017,21:58,0,3
1,Aairah Salazar,Mayahuel,9-16-2017,23:58,1,3
1,Aairah Salazar,Lee's Tavern,9-16-2017,22:58,2,1
1,Aairah Salazar,Barcade,9-16-2017,00:58,3,1
1,Aairah Salazar,Mona's,9-16-2017,21:58,4,1
2,Aairah Salazar,Aldo Sohm Wine Bar,9-24-2018,22:58,5,4
2,Aariz Nieves,PDT,9-24-2018,00:58,6,1
3,Aariz Nieves,Townhouse of New York,7-14-2018,00:58,7,1
3,Aaron Savage,The Long Island Bar,7-14-2018,23:58,8,3
3,Aaron Savage,Sugar East,7-14-2018,00:58,9,4
3,Aaron Savage,The Long Island Bar,7-14-2018,22:58,10,4
4,Aaron Savage,Attaboy,3-23-2018,22:58,11,2
4,Abdallah Donaldson,Clockwork Bar,3-23-2018,23:58,12,2
5,Abdallah Donaldson,Donovan's Pub,3-16-2018,23:58,13,4
5,Abdul Velasquez,Lee's Tavern,3-16-2018,23:58,14,4
6,Abdul Velasquez,Old Town Bar,10-10-2018,21:58,15,1
6,Abdur-Rahman Fleming,Keats Bar,10-10-2018,00:58,16,1
6,Abdur-Rahman Fleming,Nitecap,10-10-2018,21:58,17,3
7,Abdur-Rahman Fleming,Orange Street,2-20-2018,22:58,18,4
7,Abe Bartlett,169 Bar,2-20-2018,23:58,19,4
7,Abe Bartlett,Dear Irving,2-20-2018,21:58,20,1
8,Abe Bartlett,Blue Bar,3-3-2018,23:58,21,3
8,Abel Rhodes,Mona's,3-3-2018,22:58,22,3
8,Abel Rhodes,Bemelmans Bar,3-3-2018,23:58,23,4
8,Abel Rhodes,Mona's,3-3-2018,21:58,24,3
8,Abel Rhodes,Dear Irving,3-3-2018,21:58,25,1
8,Abel Rhodes,Killmeyer's,3-3-2018,22:58,26,4
9,Abel Rhodes,Old Town Bar,11-10-2017,00:58,27,4
9,Abel Watkins,Ear Inn,11-10-2017,23:58,28,3
9,Abel Watkins,Torst,11-10-2017,22:58,29,2
9,Abel Watkins,Phoenix Bar,11-10-2017,00:58,30,2
9,Abel Watkins,The Pool Lounge,11-10-2017,22:58,31,1
9,Abel Watkins,Angel's Share,11-10-2017,22:58,32,1
10,Abel Watkins,Phoenix Bar,11-1-2018,21:58,33,4
10,Abigail Gates,The Iron Horse Nyc,11-1-2018,23:58,34,4
10,Abigail Gates,LENA,11-1-2018,22:58,35,1
10,Abigail Gates,Lucy's a.k.a. Blanche's Tavern,11-1-2018,22:58,36,4
11,Abigail Gates,the Campbell,9-15-2017,22:58,37,2
